Carrier Code,Date (DD/MM/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
DL,01-08-2024,348,N544US,ATL,10:04:00,10:02:00,-2,0,0,0,0,0
DL,01-08-2024,546,N518DQ,JFK,06:07:00,06:12:00,5,0,0,0,0,0
DL,01-08-2024,548,N538DN,JFK,22:59:00,23:07:00,8,0,0,0,0,0
DL,01-08-2024,672,N6704Z,ATL,15:03:00,15:05:00,2,0,0,20,0,0
DL,01-08-2024,791,N580DT,JFK,12:08:00,12:02:00,-6,0,0,0,0,0
DL,01-08-2024,796,N549US,ATL,13:11:00,13:11:00,0,0,0,0,0,0
DL,01-08-2024,813,N926DZ,DTW,15:02:00,14:53:00,-9,0,0,0,0,0
DL,01-08-2024,901,N535US,ATL,07:05:00,09:33:00,148,146,0,0,0,0
DL,01-08-2024,918,N332DN,ATL,06:00:00,06:04:00,4,0,0,0,0,0
DL,01-08-2024,929,N320DN,ATL,23:59:00,00:43:00,44,5,0,0,0,24
DL,01-08-2024,1070,N917DU,DTW,11:00:00,11:00:00,0,0,0,0,0,0
DL,01-08-2024,1431,N806DN,SLC,13:25:00,13:17:00,-8,0,0,0,0,0
DL,01-08-2024,1432,N914DU,SLC,17:02:00,16:56:00,-6,0,0,0,0,0
DL,01-08-2024,1447,N390DA,SLC,10:05:00,10:04:00,-1,0,0,0,0,0
DL,01-08-2024,1451,N3766,SLC,19:00:00,18:55:00,-5,0,0,0,0,0
DL,01-08-2024,1535,N578DN,SLC,06:10:00,06:06:00,-4,0,0,0,0,0
DL,01-08-2024,1728,N529DT,BOS,22:52:00,23:05:00,13,0,0,0,0,0
DL,01-08-2024,2135,N313DN,DTW,06:00:00,05:57:00,-3,0,0,0,0,0
DL,01-08-2024,2148,N811DZ,DTW,23:14:00,23:19:00,5,0,0,0,0,0
DL,01-08-2024,2274,N844DN,MSP,12:16:00,12:07:00,-9,0,0,0,0,0
DL,01-08-2024,2284,N930DZ,MSP,14:00:00,13:56:00,-4,0,0,0,0,0
DL,01-08-2024,2287,N316DN,MSP,17:00:00,20:13:00,193,0,187,0,0,0
DL,01-08-2024,2288,N809DN,MSP,09:12:00,09:16:00,4,0,0,16,0,0
DL,01-08-2024,2419,N3752,SEA,11:15:00,11:15:00,0,0,0,0,0,0
DL,01-08-2024,2442,N3756,SEA,19:10:00,19:24:00,14,0,0,0,0,0
DL,01-08-2024,2444,N393DA,SEA,06:02:00,05:52:00,-10,0,0,0,0,0
DL,01-08-2024,2447,N393DA,SEA,13:56:00,13:55:00,-1,0,0,0,0,0
DL,01-08-2024,2449,N3737C,SEA,15:45:00,15:41:00,-4,0,0,0,0,0
DL,01-08-2024,2553,N346DN,MSP,06:00:00,06:05:00,5,0,0,0,0,0
DL,01-08-2024,2563,N872DN,MSP,00:40:00,01:28:00,48,0,0,0,0,34
DL,02-08-2024,348,N544US,ATL,10:04:00,10:38:00,34,34,0,4,0,0
DL,02-08-2024,546,N544DN,JFK,06:07:00,06:06:00,-1,0,0,17,0,0
DL,02-08-2024,548,N541DE,JFK,22:59:00,23:36:00,37,2,0,0,0,32
DL,02-08-2024,672,N537US,ATL,15:03:00,16:22:00,79,27,0,1,0,52
DL,02-08-2024,791,N578DN,JFK,12:08:00,12:42:00,34,0,0,32,0,0
DL,02-08-2024,796,N683DA,ATL,13:11:00,13:55:00,44,23,0,0,0,16
DL,02-08-2024,813,N832DN,DTW,15:02:00,14:59:00,-3,0,0,0,0,0
DL,02-08-2024,901,N672DL,ATL,07:05:00,07:04:00,-1,0,0,0,0,0
DL,02-08-2024,918,N325DN,ATL,06:00:00,06:00:00,0,0,0,0,0,0
DL,02-08-2024,929,N328DN,ATL,23:59:00,23:57:00,-2,0,0,0,0,0
DL,02-08-2024,1070,N827DN,DTW,11:00:00,10:57:00,-3,0,0,0,0,0
DL,02-08-2024,1431,N836DN,SLC,13:25:00,13:19:00,-6,0,0,0,0,0
DL,02-08-2024,1432,N909DN,SLC,17:02:00,16:53:00,-9,0,0,0,0,0
DL,02-08-2024,1447,N3766,SLC,10:05:00,10:05:00,0,0,0,0,0,0
DL,02-08-2024,1451,N3773D,SLC,19:00:00,18:50:00,-10,0,0,0,0,0
DL,02-08-2024,1535,N582DN,SLC,06:10:00,06:07:00,-3,0,0,0,0,0
DL,02-08-2024,1728,N536DN,BOS,22:52:00,23:21:00,29,24,0,0,0,0
DL,02-08-2024,2135,N353DN,DTW,06:00:00,05:59:00,-1,0,0,0,0,0
DL,02-08-2024,2148,N818DA,DTW,23:14:00,23:09:00,-5,0,0,0,0,0
DL,02-08-2024,2274,N837DN,MSP,12:16:00,12:13:00,-3,0,0,0,0,0
DL,02-08-2024,2284,N917DU,MSP,14:00:00,14:12:00,12,0,0,0,0,0
DL,02-08-2024,2287,N102DN,MSP,17:00:00,17:18:00,18,0,0,0,0,0
DL,02-08-2024,2288,N817DN,MSP,09:12:00,09:09:00,-3,0,0,0,0,0
DL,02-08-2024,2419,N386DA,SEA,11:15:00,11:07:00,-8,0,0,0,0,0
DL,02-08-2024,2442,N3744F,SEA,19:10:00,19:03:00,-7,0,0,0,0,0
DL,02-08-2024,2444,N388DA,SEA,06:02:00,05:51:00,-11,0,0,0,0,0
DL,02-08-2024,2447,N388DA,SEA,13:56:00,13:51:00,-5,0,0,0,0,0
DL,02-08-2024,2449,N397DA,SEA,15:45:00,15:43:00,-2,0,0,0,0,0
DL,02-08-2024,2553,N323DN,MSP,06:00:00,05:58:00,-2,0,0,0,0,0
DL,02-08-2024,2563,N333DX,MSP,00:43:00,00:53:00,10,0,0,0,0,0
DL,03-08-2024,348,N6702,ATL,10:04:00,10:48:00,44,34,0,0,0,0
DL,03-08-2024,546,N519DT,JFK,06:07:00,15:53:00,586,0,0,0,0,579
DL,03-08-2024,791,N540DE,JFK,12:08:00,12:40:00,32,0,0,0,0,0
DL,03-08-2024,796,N684DA,ATL,13:11:00,13:10:00,-1,0,0,0,0,0
