STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE2,SOURCE3,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,WindEquipmentChangeDate
72278023183,01-08-2024 00:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,59,89,0,,,,36,29.84,BKN:07 150 BKN:07 210 OVC:08 230,28.73,10,70,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET15008/01/24 00:51:02 METAR KPHX 010751Z 17007KT 10SM BKN150 BKN210 OVC230 32/15 A2991 RMK AO2 SLP105 FRQ LTGCGIC DSNT SE-S CB DSNT SE-S T03170150 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 01:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,60,89,0,,-0.01,1,38,29.84,BKN:07 160 BKN:07 210 OVC:08 230,28.73,10,70,130,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET15108/01/24 01:51:02 METAR KPHX 010851Z 13008KT 10SM BKN160 BKN210 OVC230 32/16 A2991 RMK AO2 SLP105 CONS LTGCGIC DSNT S CB DSNT S T03170156 51002 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 02:00,FM-12,4,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,89,,,-0.01,1,38,29.84,,28.74,9.94,70,130,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN06472278 32966 81308 10317 20156 39731 40105 51002 90851 555 90109=,FM-12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 02:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,62,89,0,,,,41,29.83,FEW:02 60 SCT:04 110 BKN:07 150,28.72,10,71,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET14308/01/24 02:51:02 METAR KPHX 010951Z 00000KT 10SM FEW060 SCT110 BKN150 32/17 A2990 RMK AO2 SLP102 OCNL LTGIC DSNT S CB DSNT S T03170167 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 03:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,61,89,0,,,,39,29.83,FEW:02 110 BKN:07 150 BKN:07 230,28.72,10,71,30,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11508/01/24 03:51:02 METAR KPHX 011051Z 03009KT 10SM FEW110 BKN150 BKN230 32/16 A2990 RMK AO2 SLP102 T03170161 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 04:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,62,89,0,,-0.03,3,41,29.87,SCT:04 130 BKN:07 150 BKN:07 190,28.76,10,71,170,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13308/01/24 04:51:02 METAR KPHX 011151Z 17008KT 10SM SCT130 BKN150 BKN190 32/17 A2994 RMK AO2 SLP115 T03170167 10328 20317 53010 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 05:00,FM-12,4,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,89,,,-0.03,3,41,29.87,,28.77,9.94,71,170,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN08072278 32966 61708 10317 20167 39741 40115 53010 91151 333 10433 20317 555 90112=,FM-12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 05:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,63,88,0,,,,43,29.89,BKN:07 140 BKN:07 190 BKN:07 240,28.78,10,71,180,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11508/01/24 05:51:02 METAR KPHX 011251Z 18006KT 10SM BKN140 BKN190 BKN240 31/17 A2996 RMK AO2 SLP123 T03110172 $ (GEH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 06:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,63,89,0,,,,42,29.92,BKN:07 140 BKN:07 190 BKN:07 250,28.81,10,72,160,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11408/01/24 06:51:02 METAR KPHX 011351Z 16004KT 10SM BKN140 BKN190 BKN250 32/17 A2999 RMK AO2 SLP133 T03170172 $ (SH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
72278023183,01-08-2024 07:51,FM-15,7,,N,0.5,mi,"TEMP, PRECIP",1107,,"MXMN, SRG",33.4442,-112.0247,CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,64,89,0,,-0.06,1,43,29.93,SCT:04 130 SCT:04 190 BKN:07 250,28.82,10,72,150,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12008/01/24 07:51:02 METAR KPHX 011451Z 15004KT 10SM SCT130 SCT190 BKN250 32/18 A3000 RMK AO2 SLP137 T03170178 51020 $ (SH),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,03-04-2007 00:00
